0.21, -0.05859355, -0.006314679, 7.016318, 0, 0.0031216388047433165429798370, 41865.25, -1637.514, -2.423912, 0.004900447, 0.07899015, 328.6273, 1.459758, 1.160977, 2.509531
 
0.22, -0.04471261, -0.006900615, 7.010717, 0, 0.0026266714857279766518961854, 41793.79, -1637.953, -2.423912, 0.004900447, 0.07899015, 328.4164, 1.459484, 1.160977, 2.509531
 
0.23, -0.02982733, -0.007347741, 7.00486, 0, 0.00207165230509489710371, 41722.49, -1638.33, -2.423912, 0.004900447, 0.07899015, 328.2059, 1.459212, 1.160977, 2.509531
 
0.24, -0.01446201, -0.007646014, 6.998745, 0, 0.0014766410235013397664, 41651.36, -1638.645, -2.423912, 0.004900447, 0.07899015, 327.9956, 1.458941, 1.160977, 2.509531
 
0.25, 0.0008847403, -0.007790634, 6.992365, 0, 0.000861456348774612096930, 41580.4, -1638.895, -2.423912, 0.004900447, 0.07899015, 327.7857, 1.45867, 1.160977, 2.509531
 
0.26, 0.01576858, -0.007781786, 6.985718, 0, 0.000244456392513415967161, 41509.55, -1639.082, -2.423912, 0.004900447, 0.07899015, 327.5758, 1.458399, 1.160977, 2.509531
 
0.27, 0.02972255, -0.0076241, 6.978804, 0, -0.00035437054966974123000, 41438.86, -1639.203, -2.423912, 0.004900447, 0.07899015, 327.3662, 1.458116, 1.160977, 2.509531
 
0.28, 0.04237849, -0.007326875, 6.971616, 0, -0.000918441151393861597590, 41368.34, -1639.258, -2.423912, 0.004900447, 0.07899015, 327.157, 1.457825, 1.160977, 2.509531
 
0.29, 0.05339962, -0.00690309, 6.964156, 0, -0.0014318184093897467610, 41297.99, -1639.246, -2.423912, 0.004900447, 0.07899015, 326.948, 1.457537, 1.160977, 2.509531
 
0.3, 0.06250457, -0.006369094, 6.956419, 0, -0.00188032205409315441608, 41227.81, -1639.165, -2.423912, 0.004900447, 0.07899015, 326.7394, 1.45725, 1.160977, 2.509531
 
0.31, 0.06946532, -0.005744048, 6.9484, 0, -0.00225155065861248754550, 41157.79, -1639.015, -2.423912, 0.004900447, 0.07899015, 326.531, 1.456965, 1.160977, 2.509531
 
0.32, 0.07417074, -0.005049395, 6.940102, 0, -0.00253763616986290632979, 41087.95, -1638.796, -2.423912, 0.004900447, 0.07899015, 326.323, 1.456682, 1.160977, 2.509531
 
0.33, 0.07651366, -0.004307688, 6.931521, 0, -0.00273068675403091293936, 41018.27, -1638.506, -2.423912, 0.004900447, 0.07899015, 326.1153, 1.4564, 1.160977, 2.509531
 
0.3399999, 0.07654308, -0.003542552, 6.92265, 0, -0.0028292363873938536831025879, 40948.75, -1638.145, -2.423912, 0.004900447, 0.07899015, 325.9079, 1.456121, 1.160977, 2.509531
 
0.3499999, 0.07433002, -0.002777121, 6.91349, 0, -0.00283281724157505334048, 40879.4, -1637.712, -2.423912, 0.004900447, 0.07899015, 325.7008, 1.455844, 1.160977, 2.509531
 
